cid,bookid,catid,title,typeid,thumb,description,gx_type,update_chapter_name,author,status_bz,updatetime,view_type,average_score,rank_id,hit_num,views,vip_tag_name,vip_tag_type
1,1696,31,王爷你好贱,0,http://cdn.517w.com/uploadfile/2016/0525/thumb_20160525032820405.jpg,"大风起兮云飞扬，睁不开眼睛兮不知所身处何地啦！
别人家的女主都自带主角光环各种幸福，为毛本小姐要受尽这些贱王爷和小婊砸们的折磨！！！
我就不信本小姐这21世纪的先进脑袋瓜还斗不过你们这群蠢货~哼！(〃＞皿＜)
唉，不行了，成也计谋败也计谋，精灵古怪的本小姐也要沦陷美男计温柔乡了……",2,第538话,追梦动漫,1,1580313607,1,4.7489,37,38173115,52217,,
1,124,32,非常道先生,0,http://cdn.517w.com/uploadfile/2017/0830/20170830112226118.jpg,身怀绝技的道小天来帝京闯荡，受某公司高管林雪儿委托，为其老板追查窃贼。随着任务的出色完成，各类奇怪委托生意陆续找上门来，专门帮助各种雇主追查各类玄奇案件，而且与妹纸雇主们更是纠缠不清——,3,第425话,权迎升,1,1533180015,0,4.8224,38,446248826,51028,,
1,1846,33,厉害了爸爸们,0,http://cdn.517w.com/uploadfile/2017/0901/20170901094120257.jpg,没有妈妈怎么了，小豆包有好多爸爸，哼！至于爸爸怎么生的小孩，这种羞羞的事情你去问那个男妇产科医生嘛，他就是小豆包最亲的爸爸啦！,2,196,Mr.C懂哲学么少年/南城夫子,1,1535536784,0,4.8931,40,296377350,50433,,
1,4897,32,我在日本当道士,0,http://cdn.517w.com/uploadfile/2019/0118/thumb_20190118164913633.jpg,【周三、周六更新】鹤姬山，时常妖怪出没，生气的玉藻前大人要报仇。而她的仇家竟是一个普通的男高中生——田中真守，玉藻前大人跟田中真守有过什么矛盾呢……,2,第109话：臭田中我在这！,火龙传媒,1,1579017616,0,4.8,42,5376582,48795,,
1,248,31,我的男神,0,http://cdn.517w.com/uploadfile/2017/0901/20170901103145836.jpg,男神一秒变男婴？！快告诉我这不是真的！,2,第292回,千秋叶工作室,1,1530115203,0,4.8406,43,219194420,48264,,
1,4895,31,我不是陈圆圆,0,http://cdn.517w.com/uploadfile/2019/0115/thumb_20190115174758417.jpg,现代少女误触时空机缘，流落明朝末年，变身一代名伶陈圆圆，是甘当祸水红颜，还是改写命运，寻找属于她的那份爱情？,2,我来护送,时光鱼,1,1578646882,1,4.7895,44,2709982,45457,,
1,4980,31,攻妻不备,0,http://cdn.517w.com/uploadfile/2019/0624/thumb_20190624151853626.jpg,"她用了三个月适应她的新身份——席御哲的小姨。每日看他抱着别人温柔缱绻，内心再也受不了煎熬。
   夏日午后，他手持玫瑰却被她强吻：“我告诉你！我不是你小姨，这辈子，以后都不想当你小姨！我是……”席御哲淡薄的目光，却让她将剩下的话吞回。她是，谁呢？他根本就已经记不起！",2,第95话 幸福就在前方,神鱼漫社,1,1563171397,1,0,46,1558369,43949,,
1,123,32,天使与恶魔的密语,0,http://cdn.517w.com/uploadfile/2017/0831/thumb_20170831120757799.jpg,卷入到碰瓷事件中的少年，却能看见普通人看不见的天使与恶魔，这是稀有的魔眼与天眼的双重拥有者，少年因此成为了天使与恶魔争相拉拢的对象。人类、天使和恶魔之间的搞笑日常就此展开~,0,第一部最终话,千海,1,1524546979,0,4.8434,49,289982639,38604,,
1,3872,33,上锁的幸运,0,http://cdn.517w.com/uploadfile/2017/0911/thumb_20170911162650283.jpg,缘分总是捉摸不定，暑假期间，男主桐克本是在表哥的威逼利诱下兼职送快递，未曾想到，却因为这个契机认识了一个貌似自闭的男孩，男二幸生，命运的轨迹从此交错在一起。,1,第44话 秘密的终点,式虫,1,1534476719,1,4.8488,50,55611475,36890,,
1,3230,31,魔王的烦恼,0,http://cdn.517w.com/uploadfile/2017/0831/20170831015204111.jpg,被封印了三千年的魔王再次对人界展开侵略，然而却意外的孤身一人落入人界陷入了一生中最大的危机！枪与魔法、手机与精灵、高傲的魔王在现代化的人类社会开展的新的侵略冒险。,0,335（完结）,噼咔噼,1,1513215479,0,4.7824,51,248945075,35258,,
1,4400,31,虫娘星系大冒险,0,http://cdn.517w.com/uploadfile/2018/0412/20180412061616897.jpg,在浩瀚的大角虫漫画宇宙中，每个作者的作品星球形成了作者独有的奇妙星系，虫娘和虫子将会出现在作者们的星系之中~看大角虫的作者们给你带来新奇的虫娘大冒险吧！,6,23-孙渣星系,大角虫漫画,1,1525406414,0,4.7368,52,74256918,34145,,
1,2985,33,他与他的恶劣玩笑,0,http://cdn.517w.com/uploadfile/2017/0830/thumb_20170830192250619.jpg,相恋多年的情侣真的会被时间打败吗？当命运将第三个人推向他们，曾经对彼此许下的约定，是否还有机会实现？,1,第68话 不离不弃（完结）,黄皮很黄,1,1521179724,1,4.8396,53,49945641,33816,,
1,3620,33,学长，请听话,0,http://cdn.517w.com/uploadfile/2017/0831/20170831114118844.jpg,来到新学校读书的司徒彬，在开学的第一天却被学校里的危险人物——楚铭天给盯上了，但这位“危险人物”看不来没有传言那么危险？后来还被他拉着自己一起去打架，日常什么的全被打乱了…新的校园生活究竟会变成怎么样？？,1,第19话 深夜对话（中）,响君,1,1525097891,1,4.8924,54,53532291,33683,,
